customer_id,gender,recency_days,frequency,monetary_total,monetary_avg,share_ATM Withdrawal,share_Airtime/Data,share_Bill Payment,share_Loan Repayment,share_Other/Unclassified,share_POS Purchase,share_Salary Credit,share_Savings Deposit,share_Transfer,age_band,balance_band,geo_zone
ANON_35d64b9ce4318d12,Female,116,5,24618.69,4923.738,0.0,0.0,0.1199466746605932,0.0,0.0,0.1100740941130498,0.1850334034832884,0.5275743754034028,0.0573714523396655,35-44,50K-500K,South South
ANON_d34a42acfe270a28,Female,33,10,92503.58,9250.358,0.110422320952335,0.0097738919942341,0.2738841026477029,0.0819521795805092,0.0,0.0,0.0,0.352588083617953,0.1713794212072657,35-44,Under 50K,South East
ANON_f8ae37f42807b4f1,Male,91,11,39634.37,3603.1245454545456,0.1120355893130129,0.2167694352149409,0.238422106873403,0.0,0.0,0.0973326938210447,0.0,0.1355437212702006,0.1998964535073977,45-59,Under 50K,South South
ANON_3f2c2fd05722b1e5,Male,238,2,86961.34,43480.67,0.0,0.0,0.0497870662986563,0.9502129337013436,0.0,0.0,0.0,0.0,0.0,45-59,Under 50K,South South
ANON_d53390f98b0b61db,Male,181,7,25631.79,3661.684285714286,0.0946874954890001,0.0,0.0,0.2223461568622402,0.0,0.4997044685525279,0.0,0.0,0.1832618790962316,45-59,Under 50K,North Central
ANON_15ddda3f5857d171,Female,40,2,16887.739999999998,8443.869999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0215156083644111,0.978484391635589,0.0,45-59,50K-500K,North Central
ANON_a9d01d6b8fc9335b,Female,31,15,330527.62,22035.174666666662,0.040135707872159,0.0790974140073377,0.0,0.0791066114232753,0.0,0.5053370426350452,0.1245292299626881,0.130233745670029,0.0415602484294655,18-24,Under 50K,South South
ANON_119b33a4a0c3c188,Male,102,4,22248.04,5562.009999999999,0.0,0.0,0.1626610703684459,0.3098039198059694,0.0,0.5275350098255847,0.0,0.0,0.0,25-34,50K-500K,South East
ANON_b1ee16573fabb910,Female,27,9,67196.95,7466.327777777778,0.1151288860580725,0.30032925601534,0.0562839533639547,0.1213203873092454,0.0,0.0,0.2493754552848009,0.0,0.1575620619685863,25-34,Under 50K,North Central
ANON_8f40e61c46c15c25,Male,71,7,71044.95,10149.278571428573,0.0,0.0,0.1996423391106616,0.0,0.0,0.0682764925585843,0.0,0.3845541449462628,0.347527023384491,45-59,50K-500K,South East
ANON_a7505c3b1ba9b247,Female,33,4,34006.149999999994,8501.537499999999,0.0,0.0,0.200915422651491,0.0,0.0,0.4424926079547376,0.1337378680032876,0.0,0.2228541013904838,18-24,50K-500K,South West
ANON_d3dfe2ec9c716e63,Female,25,6,25126.95,4187.825,0.0,0.4816708752952507,0.0,0.0,0.0,0.052727450008855,0.3244193982954557,0.1411822764004386,0.0,45-59,Under 50K,South South
ANON_00f8ba6ba1854f54,Male,99,4,54372.01,13593.0025,0.0,0.306859356496109,0.0,0.65178554186244,0.0,0.0,0.0,0.0,0.0413551016414511,25-34,Under 50K,North West
ANON_3347873a46560547,Female,218,5,43312.96,8662.592,0.0,0.0,0.0,0.6479845755173509,0.0,0.1770666331739968,0.0,0.0232486996963495,0.1517000916123026,18-24,Under 50K,North Central
ANON_81b2c2f8d0af28e4,Female,29,6,57111.45,9518.575,0.0,0.0,0.240303301702198,0.0,0.0,0.3784249918361379,0.0,0.0,0.381271706461664,35-44,Under 50K,North Central
ANON_dc9a0d1b52cf72ce,Female,116,4,27541.05,6885.2625,0.5689096820927307,0.1008483699786318,0.0,0.0,0.0,0.0,0.0,0.1963839432410892,0.1338580046875482,35-44,Under 50K,South South
ANON_c50ea87c3057c0c8,Female,35,5,127618.46,25523.692,0.6946149483389785,0.2895408704978888,0.0,0.0,0.0,0.0,0.0,0.0158441811631326,0.0,35-44,Under 50K,South East
ANON_c8c3ee69e4c6d4b6,Male,22,5,110302.63,22060.526,0.0,0.0,0.0,0.0,0.0,0.0,0.2109919772538515,0.5795945210009952,0.2094135017451533,35-44,Under 50K,North Central
ANON_0b478984e5704f71,Unspecified,131,8,39865.13,4983.14125,0.0623141075922742,0.3119222237579558,0.0,0.0,0.0,0.1205632591691034,0.075853509069204,0.4293469004114623,0.0,35-44,50K-500K,Other
ANON_4869ef22d79096bc,Male,85,6,42827.98,7137.996666666667,0.2769350784230309,0.0420547501890119,0.0,0.2862801374241792,0.0746988300638974,0.0,0.0,0.3200312038998804,0.0,25-34,50K-500K,South East
ANON_afa7a65013780623,Male,40,5,35706.1,7141.219999999999,0.4669574666513564,0.0,0.0,0.0,0.0,0.0,0.2646544988111274,0.268388034537516,0.0,18-24,50K-500K,South West
ANON_ce3f7d142fe4d1ae,Female,116,7,47256.65,6750.95,0.7370105583023766,0.0,0.0,0.0344687996292585,0.0,0.0,0.0,0.2285206420683649,0.0,45-59,50K-500K,North Central
ANON_8cb73df96f9e7791,Male,271,5,54740.67,10948.134,0.0838520975355252,0.0,0.0,0.0,0.0,0.9161479024644748,0.0,0.0,0.0,45-59,50K-500K,North Central
ANON_cce935a8d04360f3,Unspecified,129,6,47053.76,7842.293333333334,0.6003951650197562,0.1804858952823324,0.0,0.0,0.0,0.0156680358806607,0.0,0.0,0.2034509038172507,35-44,Under 50K,Other
