customer_id,recency_days,frequency,monetary_total,monetary_avg,share_ATM Withdrawal,share_Airtime/Data,share_Bill Payment,share_Loan Repayment,share_Other/Unclassified,share_POS Purchase,share_Salary Credit,share_Savings Deposit,share_Transfer
FB100000,163,3,22099.93,7366.643333333333,0.0,0.0,0.22703556074612002,0.28120134317167517,0.0,0.0,0.0,0.4917630960822048,0.0
FB100001,24,5,25117.18,5023.436,0.0,0.0,0.0,0.09936664864447362,0.0,0.0,0.6240648830800273,0.2005667037462008,0.07600176452929827
FB100002,73,11,106414.34999999999,9674.031818181817,0.0,0.0,0.0,0.5765462082886378,0.0,0.2914169000703382,0.051127596982925703,0.0,0.08090929465809826
FB100003,13,15,107539.19,7169.279333333334,0.10968382782128078,0.5542179553333069,0.00814335685437095,0.09272684683602322,0.0,0.07724095745932251,0.09188166658127145,0.0,0.06610538911442423
FB100004,200,3,33567.41,11189.136666666667,0.0,0.0,0.7854237190179402,0.21457628098205966,0.0,0.0,0.0,0.0,0.0
FB100005,168,6,77177.35,12862.891666666668,0.813144659670227,0.08416510802716082,0.0,0.0,0.08694766016195166,0.0090231136466852,0.0,0.0,0.00671945849397524
FB100006,114,2,16502.15,8251.075,0.0,0.0,0.8321539920555806,0.0,0.0,0.0,0.0,0.16784600794441937,0.0
FB100007,150,4,105487.98999999999,26371.997499999998,0.0371173059606122,0.0,0.0,0.8712242028689713,0.0,0.0,0.0,0.09165849117041666,0.0
FB100008,140,6,51594.07,8599.011666666667,0.0,0.5785341222353654,0.0,0.0,0.0,0.02088108187626989,0.3221905153053442,0.07839428058302049,0.0
FB100009,4,6,87526.08,14587.68,0.0,0.027624566300695746,0.04208894080484354,0.0,0.0,0.018466610180645583,0.0,0.7737211583107572,0.13809872440305793
FB100010,57,10,99006.3,9900.630000000001,0.011043640657210703,0.06984949442611227,0.04695095160610991,0.3988214891375599,0.0,0.0,0.15032407028643632,0.25983780830108794,0.06317254558548294
FB100011,28,6,106029.34999999999,17671.55833333333,0.012005826688553687,0.0,0.07184039136333477,0.0,0.0,0.0,0.0,0.688392034846955,0.2277617471011564
FB100012,31,7,128931.37999999999,18418.76857142857,0.7815682264472775,0.0,0.0,0.007720385836248708,0.0,0.022077480284473802,0.010424227212956225,0.0,0.17820968021904365
FB100013,290,7,71505.46,10215.065714285714,0.31308756002688465,0.03741560434685687,0.0,0.0,0.0,0.0,0.35875945697013906,0.0,0.29073737865611937
FB100014,74,8,107965.23999999999,13495.654999999999,0.7159230137403483,0.0,0.04464427625039318,0.0,0.0,0.08512758365562843,0.15430512635363014,0.0,0.0
FB100015,145,7,72149.32,10307.045714285716,0.06200474238703844,0.0,0.0,0.18678831623083905,0.0,0.3330164442298278,0.33734344273792183,0.03878012987509792,0.04206692453927493
FB100016,65,9,51793.39,5754.821111111111,0.07742281399228743,0.0,0.08417695771603288,0.19230426894242683,0.0,0.1544291655749894,0.016232380232303775,0.0,0.4754344135419597
FB100017,125,2,8139.29,4069.645,0.0,0.0,0.0,0.2947234955383086,0.0,0.0,0.0,0.0,0.7052765044616913
FB100018,370,5,48025.45,9605.09,0.05879424346882746,0.0,0.0,0.0,0.48020955555856315,0.14235473066884327,0.24449495007334648,0.0741465202304195,0.0
FB100019,102,7,118039.61,16862.801428571427,0.38002175710339947,0.18727594914961174,0.0,0.039535542348877635,0.0,0.12610444917600117,0.26706230222211,0.0,0.0
FB100020,49,8,30512.36,3814.045,0.0,0.20089793119902888,0.0,0.011641511833237417,0.0,0.5468390514532472,0.058994125659241045,0.13067229149105478,0.05095508836419078
FB100021,18,8,20488.17,2561.02125,0.13335793289493403,0.0,0.06750627313225144,0.04407323836145444,0.0,0.0,0.12303002171497016,0.3835154628256209,0.24851707107076915
FB100022,21,5,29355.67,5871.134,0.4347344141693922,0.0,0.16750154229148917,0.0,0.0,0.39776404353911865,0.0,0.0,0.0
FB100023,175,6,148796.83,24799.471666666665,0.06766723457751082,0.058601786072996306,0.08015876413496174,0.12795400278352703,0.0,0.0,0.38891997900761727,0.0,0.27669823342338673
FB100024,19,8,90042.36,11255.295,0.2028978360851493,0.0,0.7083884740471041,0.04506590009413348,0.0,0.0,0.0,0.0,0.04364778977361323
FB100025,187,5,65245.17999999999,13049.035999999998,0.05420461710734801,0.0,0.6177700789544913,0.0,0.0,0.06099500376886078,0.0,0.26703030016929985,0.0
FB100026,54,5,32139.09,6427.818,0.46044520862289506,0.0,0.059544623074268756,0.4330769788441428,0.0,0.04693318945869346,0.0,0.0,0.0
FB100027,196,6,38449.85,6408.308333333333,0.0,0.0,0.26720832460984895,0.523991120901642,0.0,0.0,0.005876225785016067,0.1358650293824293,0.06705929932106368
FB100028,30,5,40482.89,8096.5779999999995,0.3218354717264504,0.0,0.4188749864448907,0.0,0.0,0.259289541828659,0.0,0.0,0.0
FB100029,157,6,61372.17,10228.695,0.23587873787092747,0.08749796528296132,0.0,0.05921283213547769,0.0,0.0,0.24687215720089414,0.0,0.3705383075097394
FB100030,191,4,39833.69,9958.4225,0.08047484428382107,0.0,0.06062908055969709,0.0,0.0,0.0,0.0,0.019814885339520392,0.8390811898169614
FB100031,28,4,34817.89,8704.4725,0.1243329219547767,0.7552913171935463,0.0,0.0,0.06297394816285536,0.0,0.05740181268882175,0.0,0.0
FB100032,87,4,44714.61,11178.6525,0.0,0.088645746882283,0.0,0.0,0.0,0.7974840885339266,0.0,0.0,0.1138701645837904
