age,account_balance,recency_days,frequency,monetary_total,monetary_avg,share_ATM Withdrawal,share_Airtime/Data,share_Bill Payment,share_Loan Repayment,share_Other/Unclassified,share_POS Purchase,share_Salary Credit,share_Savings Deposit,share_Transfer,location,prediction_proba
66,68020.06,1,6,46813.25,7802.208333333333,0.0422999898533,0.0,0.2348138614601635,0.5066238725147261,0.0,0.2162622761718103,0.0,0.0,0.0,Oyo,0.290681565933087
21,46917.92,6,9,200375.53,22263.94777777778,0.0,0.0,0.0862474574614974,0.2176409464768477,0.0,0.0,0.1501480245616817,0.0550899603359751,0.4908736111639979,Imo,0.5443883545664919
48,404116.59,24,1,14565.67,14565.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Plateau,0.26552072294485296
44,7791.3,133,2,28131.35,14065.675,0.7525362273762192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2474637726237809,Abuja FCT,0.11525812899470758
37,36236.485,70,6,95705.97,15950.995,0.0,0.0,0.0772952826244799,0.1187955150551214,0.0,0.036165873455961,0.0,0.0,0.7677433288644375,Unknown,0.28173681618645907
30,7662.48,61,4,12226.97,3056.7425,0.1316761225389446,0.0,0.0,0.1861990337753344,0.0,0.682124843685721,0.0,0.0,0.0,Ogun,0.16713078599296688
39,3492.57,232,8,76465.88,9558.235,0.1176107565884287,0.3590172505697966,0.3493916502366808,0.1585594777696928,0.0,0.0,0.0,0.0154208648354011,0.0,Abuja FCT,0.2887334043159955
35,135224.98,17,6,157232.91,26205.485,0.1810557980514384,0.0,0.0067718647451096,0.0,0.0,0.4587893844870008,0.0130271709656712,0.3035050995367318,0.0368506822140479,Abuja FCT,0.42445490183302614
45,13796.97,1,7,45403.5,6486.214285714285,0.0,0.1351032409395751,0.0576424724966136,0.0221174579052275,0.0,0.290870087107822,0.1586128822667855,0.3356538592839758,0.0,Delta,0.32874036421510455
59,12564.33,16,8,45373.75,5671.71875,0.0782511914928786,0.0083059037439047,0.4856382820463373,0.2112168379294195,0.0,0.0606002369211273,0.1559875478663324,0.0,0.0,Oyo,0.33988364504586854
48,33794.34,153,9,58575.43,6508.381111111111,0.0,0.0869344023594875,0.0377839309075494,0.0568601886490632,0.0,0.7242546917709354,0.0518681638359291,0.0422986224770351,0.0,Enugu,0.34586550606039235
39,14926.71,94,6,101614.55,16935.758333333335,0.0,0.0131863005839222,0.4534179406394064,0.0,0.0,0.0,0.4130394712174585,0.0,0.1203562875592127,Delta,0.2980429943707851
50,130895.48,8,3,11417.15,3805.716666666666,0.3863634970198342,0.191461967303574,0.4221745356765918,0.0,0.0,0.0,0.0,0.0,0.0,Lagos,0.2120195980269458
36,33224.19,148,5,28666.33,5733.266,0.0,0.0,0.0,0.473311023769,0.0,0.1358485721750918,0.0,0.390840404055908,0.0,Enugu,0.20081742944970657
46,195015.53,122,2,7703.725,3851.8625,0.0,0.6574670045984247,0.0,0.3425329954015752,0.0,0.0,0.0,0.0,0.0,Kano,0.18079210457180608
32,35215.22,253,3,57235.56,19078.52,0.0,0.0,0.604871866371186,0.0727004330874023,0.0,0.3224277005414117,0.0,0.0,0.0,Lagos,0.1487060345726479
57,7110.75,18,5,19250.055,3850.011,0.4085936377844115,0.5209374726461821,0.0,0.0,0.0,0.0,0.0,0.0704688895694064,0.0,Anambra,0.2153243812840652
62,111900.15,26,7,64738.96,9248.422857142858,0.0,0.7483944752896864,0.0207318745929807,0.0,0.0,0.008952568901323,0.0616576169898311,0.0,0.1602634642261785,Edo,0.3953391040413093
23,13236.68,44,4,21703.12,5425.78,0.4053486319017726,0.0,0.2432908263880953,0.1136463328774849,0.2377142088326471,0.0,0.0,0.0,0.0,Abuja FCT,0.1893869274191862
43,58525.55,32,8,62352.16,7794.019999999999,0.3329737093309998,0.0096938101262249,0.0,0.0,0.054657288536596,0.1143314040764586,0.0,0.0,0.4883437879297204,Delta,0.3542196376899803
21,103539.47,159,7,140226.75,20032.39285714286,0.0,0.0143348540845452,0.0,0.0406811111289393,0.0,0.4163151467177268,0.0,0.0743599919416231,0.4543088961271654,Ogun,0.35097198662118406
