age,account_balance,recency_days,frequency,monetary_total,monetary_avg,share_ATM Withdrawal,share_Airtime/Data,share_Bill Payment,share_Loan Repayment,share_Other/Unclassified,share_POS Purchase,share_Salary Credit,share_Savings Deposit,share_Transfer,location,customer_id,gender,actual_conversion,predicted_probability,predicted_label
26,6861.41,34,5,142992.5,28598.5,0.0,0.0,0.1172946133538472,0.0,0.0,0.0120013986747556,0.575233666101369,0.0,0.2954703218700281,Anambra,FB100094,Female,0,0.3213820972262146,0
35,121580.68,73,7,158294.65,22613.52142857143,0.0166970898890139,0.0,0.0621924998728636,0.0137693219575014,0.0,0.0,0.8417680572274553,0.0655730310531657,0.0,Rivers,FB103187,Male,0,0.46376849148956784,0
54,12356.43,183,2,27124.57,13562.285,0.0,0.0,0.0,0.0,0.0,0.9114835737488188,0.0,0.0,0.0885164262511811,Edo,FB102937,Male,0,0.11513182533300338,0
18,43020.63,7,8,23577.69,2947.21125,0.1141943930893993,0.0,0.1639066422537577,0.0,0.3366228837515465,0.0223181320986067,0.1777790784423749,0.1851788703643147,0.0,Oyo,FB104037,Female,0,0.3602764829689184,0
37,15935.75,137,4,15920.61,3980.1525,0.0,0.0,0.0,0.0,0.0,0.0,0.2556799017123087,0.0,0.7443200982876912,Oyo,FB103092,Female,0,0.15592270243821305,0
30,57133.64,225,5,66199.93,13239.986,0.0,0.0,0.0,0.0,0.0,0.0,0.8508005975232904,0.0241266116142418,0.1250727908624676,Imo,FB103670,Female,0,0.23386815825654161,0
22,40658.35,65,6,18275.67,3045.945,0.0,0.0,0.5730695509384881,0.0946706741804814,0.0,0.0,0.0839460331686882,0.2297787167310418,0.0185350249813002,Rivers,FB105466,Male,0,0.2497047210830029,0
59,20500.05,41,5,117442.17,23488.434,0.0241859461554567,0.0,0.0,0.0258423358492098,0.0,0.8147589575362922,0.0562760378150369,0.0789367226440043,0.0,Cross River,FB105122,Female,0,0.28055488820932123,0
35,15959.79,294,5,28927.36,5785.472,0.0,0.0,0.3592712919533618,0.12898722869975,0.0,0.0,0.1097901778800416,0.0843343464457178,0.3176169550211287,Kaduna,FB105508,Male,0,0.16046259789306988,0
34,54303.07,115,5,46113.86,9222.772,0.3630129856836968,0.0,0.0,0.4728732316054218,0.0,0.0,0.0690397637499875,0.0430855278651581,0.0519884910957356,Ogun,FB103376,Male,1,0.21332676213957605,0
38,67100.95,57,9,133282.04,14809.115555555556,0.0686889246293048,0.7051353655751368,0.0,0.0,0.0,0.0,0.0231350750633768,0.0748185576991468,0.1282220770330346,Anambra,FB101371,Male,0,0.47965552835623654,0
50,11433.63,16,8,106623.81,13327.97625,0.0450313114866182,0.0,0.0,0.0,0.0,0.0357498948874552,0.0275332498435386,0.0,0.8916855437823878,Plateau,FB102414,Male,0,0.3758025956036307,0
21,68161.1,159,3,48412.98,16137.659999999998,0.0,0.2796380226955663,0.0,0.0,0.0,0.0,0.0393716726382057,0.6809903046662279,0.0,Plateau,FB101553,Female,0,0.17948935269849708,0
44,11153.3,48,4,80180.77,20045.1925,0.0,0.0,0.1467723495296939,0.0,0.0,0.8024097299140431,0.0416304308377183,0.0091874897185447,0.0,Ogun,FB104931,Male,0,0.21689167380604973,0
38,67115.48,136,7,94201.52,13457.36,0.0346671688524771,0.0529533918348663,0.0197825894953712,0.0,0.8078591513173037,0.0459986208290482,0.0387390776709335,0.0,0.0,Imo,FB102107,Female,1,0.346911681837162,0
52,9179.82,3,6,65639.6,10939.933333333334,0.0,0.0,0.0387491697085296,0.826627980670205,0.0,0.0481569052827866,0.0,0.0,0.0864659443384786,Kano,FB105214,Male,0,0.3015649162148156,0
19,43197.49,16,5,27589.26,5517.852000000001,0.0,0.3989059510838638,0.0504841376680635,0.078878157659901,0.0,0.0,0.4604342414403286,0.0,0.011297512147843,Abuja FCT,FB101935,Male,0,0.278160271578906,0
50,25952.18,194,4,18671.87,4667.9675,0.0,0.0672428631947416,0.0,0.0,0.0,0.6219323506429726,0.0,0.1228612881302194,0.1879634980320664,Lagos,FB103090,Male,1,0.1600327841715927,0
32,241438.63,36,2,6914.41,3457.205,0.0,0.0,0.5880588510082567,0.0,0.0,0.0,0.0,0.4119411489917433,0.0,Lagos,FB102860,Male,0,0.22223194304369437,0
39,69135.9,65,9,114467.04,12718.56,0.0702926362033996,0.6250165986645588,0.0,0.0600605204782092,0.0,0.0,0.1779226579109584,0.0667075867428737,0.0,Ogun,FB102194,Female,1,0.47152005111253253,0
39,114511.17,162,6,37984.18,6330.696666666667,0.2326202645417118,0.0597659341336314,0.0,0.0040824890783478,0.0,0.2433149800785485,0.0,0.0,0.4602163321677604,Edo,FB104739,Female,0,0.2487500352250467,0
39,13395.67,123,2,17058.579999999998,8529.289999999999,0.0,0.9555836417802654,0.0,0.0,0.0,0.0,0.0444163582197345,0.0,0.0,Abuja FCT,FB103245,Male,0,0.1423450800436896,0
40,21527.11,382,3,2881.16,960.3866666666668,0.5473698093823322,0.0,0.0,0.0,0.0,0.0,0.1549341237557095,0.0,0.2976960668619584,Abuja FCT,FB104627,Male,0,0.0836511076641747,0
27,56826.47,9,4,32941.51,8235.3775,0.0,0.0871775458987763,0.401659486769125,0.0,0.0,0.5111629673320985,0.0,0.0,0.0,Edo,FB100989,Male,0,0.2266437140081736,0
41,16551.19,159,3,43558.32,14519.44,0.0,0.0,0.0,0.0,0.0,0.0638415347515698,0.0,0.0,0.9361584652484302,Anambra,FB100077,Female,1,0.1368817042763967,0
38,14184.61,32,6,31746.24,5291.04,0.0,0.0,0.0,0.2154286617879786,0.0,0.7606875648895743,0.0,0.023883773322447,0.0,Ogun,FB105075,Female,0,0.250116518698711,0
31,45309.66,16,5,28528.68,5705.736,0.0,0.0825611279596532,0.0,0.3149227373996974,0.0,0.0852892597904985,0.0,0.0,0.5172268748501508,Rivers,FB100843,Female,0,0.23412792995504536,0
29,108446.7,56,6,72723.94,12120.656666666668,0.0,0.6649180448694061,0.0,0.0102934466971948,0.0,0.0097663850445946,0.0198981243315474,0.0,0.2951239990572568,Oyo,FB103851,Female,0,0.3276670845342353,0
18,145632.63,184,7,75295.4,10756.485714285713,0.1014963729523981,0.0688424525269804,0.032968680689657,0.0233197512729861,0.0,0.7316964914191305,0.0416762511388478,0.0,0.0,Kaduna,FB100744,Female,1,0.3337304285682293,0
60,37058.08,96,5,26076.56,5215.312,0.0,0.2483026902321471,0.0,0.0,0.0,0.1095221148801835,0.0,0.0,0.6421751948876693,Kano,FB101533,Male,0,0.21402170211288787,0
31,50185.94,25,9,116782.37,12975.818888888887,0.0,0.1109504799397374,0.4634890523287034,0.0,0.0,0.0914989993780739,0.0,0.0,0.3340614683534852,Anambra,FB104378,Male,0,0.44842533493010733,0
